Ax,Ay,Az,Gx,Gy,Gz
0.4952476238119059,0.4898674005504129,0.7525644233174882,0.5005947294068402,0.4941852555941189,0.5005197342030452
0.5110055027513757,0.425068801601201,0.7600700525394046,0.5315136822645063,0.5445611036503479,0.4728813854927882
0.5855427713856928,0.2659494620965725,0.4513385038779085,1.0,0.4221706751312416,0.5376179430385266
0.4954977488744371,0.490367775831874,0.7523142356767576,0.5005650801402236,0.4941399096569405,0.5005493834696618
0.4339669834917458,0.3007255441581187,0.7850888166124594,0.4403003296300818,0.8694002127770899,0.8071664021486997
0.4954977488744371,0.4901175881911435,0.7528146109582188,0.500687165355704,0.4941399096569405,0.5005493834696618
0.5645322661330665,0.3742807105328998,0.7035276457343008,0.2961333868182849,0.6871269860648447,0.518145351169402
0.5672836418209104,0.4275706780085065,0.7165374030522893,1.0,0.582988297260059,0.2644208800599961
0.4954977488744371,0.4898674005504129,0.7525644233174882,0.5007028620262658,0.4942462982018591,0.5005040375324834
0.4952476238119059,0.4901175881911435,0.7525644233174882,0.5006557720145804,0.4942009522646807,0.5004726441913598
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.5006557720145804,0.4942462982018591,0.5004883408619216
0.4944972486243121,0.4883662747060296,0.7528146109582188,0.500610426077402,0.4941852555941189,0.5004569475207981
0.1998499249624812,0.4831123342506881,0.52964723542657,0.5898390219230165,0.0810035404712489,0.587123497915831
0.1588294147073536,0.4258193645233926,0.7990993244933702,0.4664265657428885,1.0,0.6735737830720129
0.4952476238119059,0.4901175881911435,0.7528146109582188,0.5005947294068402,0.4941852555941189,0.5004726441913598
0.6095547773886942,0.4253189892419315,0.7523142356767576,1.0,0.4084046950485724,0.5431885170134468
0.5872936468234117,0.2026519889917439,0.5251438578934201,1.0,0.2882118004081134,0.5653609362191953
0.5577788894447223,0.1551163372529397,0.5126344758568928,0.3881245966827703,0.6253047770200744,0.5948602124282749
0.4954977488744371,0.4898674005504129,0.7525644233174882,0.500610426077402,0.494171302998064,0.5004726441913598
0.4947473736868433,0.4883662747060296,0.7528146109582188,0.5005807768107854,0.4941556063275023,0.5004726441913598
0.4942471235617808,0.4888666499874907,0.7523142356767576,0.5007028620262658,0.4942009522646807,0.5004569475207981
0.7201100550275137,0.3955466599949964,0.5664248186139605,0.6006435634930324,0.9647016760556012,0.559792106318782
0.5307653826913457,0.3872904678508883,0.6745058794095573,1.0,0.1495700856340583,0.4462371592514432
0.4922461230615307,0.3755316487365525,0.6672504378283715,0.544407625093744,0.5780438460331025,0.7310305736261054
0.5855427713856928,0.2932199149362022,0.4756067050287716,1.0,0.2449343355948166,0.5982175558539861
0.4949974987493746,0.4898674005504129,0.7530647985989494,0.5006418194185256,0.4941556063275023,0.5005040375324834
0.4844922461230614,0.3875406554916188,0.3377533149862397,1.0,0.3682857491672044,0.7110853375656208
0.5080040020010005,0.4736052039029273,1.0000000000000002,0.5403195144496573,0.8985471859357832,0.4516996006069379
0.2248624312156077,0.417312984738554,0.4911183387540656,0.5249350332246193,0.8114550813610757,0.4708530268413066
0.4942471235617808,0.4896172129096824,0.7523142356767576,0.5007168146223206,0.4941242129863787,0.5005040375324834
0.5082541270635317,0.5556667500625471,0.581686264698524,0.3113469487416502,0.0,0.4114114794984042
0.5430215107553776,0.3277458093570179,0.5396547410557919,0.0,0.5945096534523955,0.2312747440570661
0.7526263131565782,0.3345008756567427,0.4953715286464849,0.3715663533146136,0.0,0.2269860648446901
0.5332666333166582,0.4660995746810109,0.9141856392294222,1.0,0.5730836981355844,0.5739836405811256
0.4949974987493746,0.4898674005504129,0.7530647985989494,0.5007482079634442,0.4941852555941189,0.5005336867991
0.5765382691345672,0.2874655991993996,0.3352514385789342,0.9514397335054152,0.4824807715785618,0.4167692763834871
0.4952476238119059,0.4901175881911435,0.7530647985989494,0.5006418194185256,0.4941852555941189,0.5005650801402236
0.4957478739369684,0.4906179634726046,0.7528146109582188,0.5007168146223206,0.4941852555941189,0.5005040375324834
0.5625312656328163,0.4425819364523394,0.8801601200900677,0.9658771822732268,0.5202347524286237,0.5947695205539181
0.4944972486243121,0.4883662747060296,0.7528146109582188,0.5007482079634442,0.4942323456058042,0.5004883408619216
0.2258629314657328,0.4155616712534402,0.4125594195646735,0.4853340774717896,0.3757939899192494,0.6747196400230218
0.0410205102551275,0.5013760320240181,0.7545659244433327,0.6118300573800513,1.0,0.6021399794199208
0.4954977488744371,0.4898674005504129,0.7530647985989494,0.5006557720145804,0.4941556063275023,0.5004883408619216
0.0577788894447223,0.4668501376032025,0.826870152614461,0.6567277674102238,0.9871200097668172,0.6889565202225438
0.4144572286143071,0.5814360770577935,0.6795096322241683,0.4538203952072832,1.0,0.5201597572248287
0.4949974987493746,0.4898674005504129,0.7530647985989494,0.5007168146223206,0.4941556063275023,0.5004116015836196
0.6918459229614806,0.375281461095822,0.7728296222166626,0.7617053560528106,0.8211294626506445,0.4438564975495753
0.4519759879939969,0.4218163622717039,0.662997247935952,0.1950311317299475,0.0,0.0
0.4944972486243121,0.4888666499874907,0.7533149862396799,0.5009609850532815,0.4940492177825836,0.5005493834696618
0.3649324662331165,0.3695271453590193,0.9074305729296974,0.3612658492770811,0.999618047682997,0.9051397875717252
0.4949974987493746,0.4896172129096824,0.7525644233174882,0.5006418194185256,0.4940945637197621,0.5004726441913598
0.4942471235617808,0.4886164623467602,0.7525644233174882,0.5005807768107854,0.4942166489352425,0.5005650801402236
0.584792396198099,0.3667750813109833,0.7695771828871656,0.2308317491323229,0.6409020353349495,0.3084169035701205
0.2216108054027013,0.4103077307980987,0.5486614961220917,0.4872577916528594,0.2326176814273506,0.5276209079651882
0.4949974987493746,0.4898674005504129,0.7530647985989494,0.500610426077402,0.4941242129863787,0.5004116015836196
0.5965482741370685,0.4650988241180886,0.591693770327746,1.0,0.0,0.5487573469138601
0.4874937468734366,0.4535901926444834,0.7265449086815112,0.0,0.4481748260285679,0.6729790536651725
0.4949974987493746,0.4898674005504129,0.7530647985989494,0.5006261227479638,0.494171302998064,0.5005807768107854
0.5267633816908454,0.4375781836377284,0.6865148861646235,0.5279889076861364,0.4457784676561382,0.4805884507386155
