Ax,Ay,Az,Gx,Gy,Gz,Label
-0.019,-0.040,1.010,0.394,-3.316,0.280,Idle
-0.018,-0.039,1.011,0.420,-3.351,0.280,Idle
-0.020,-0.040,1.012,0.403,-3.360,0.298,Idle
-0.017,-0.040,1.010,0.359,-3.325,0.280,Idle
-0.018,-0.039,1.011,0.385,-3.386,0.271,Idle
-0.018,-0.039,1.010,0.394,-3.290,0.280,Idle
-0.020,-0.040,1.011,0.341,-3.334,0.254,Idle
-0.018,-0.040,1.011,0.394,-3.334,0.324,Idle
-0.018,-0.040,1.011,0.350,-3.342,0.306,Idle
-0.018,-0.039,1.010,0.359,-3.334,0.341,Idle
-0.018,-0.040,1.012,0.333,-3.290,0.324,Idle
-0.018,-0.041,1.011,0.350,-3.351,0.280,Idle
-0.018,-0.041,1.012,0.376,-3.334,0.254,Idle
-0.019,-0.040,1.012,0.359,-3.351,0.324,Idle
-0.019,-0.040,1.012,0.385,-3.325,0.333,Idle
-0.018,-0.040,1.010,0.394,-3.360,0.324,Idle
-0.018,-0.041,1.012,0.333,-3.316,0.333,Idle
-0.018,-0.040,1.011,0.368,-3.378,0.324,Idle
-0.019,-0.040,1.012,0.385,-3.342,0.271,Idle
-0.018,-0.042,1.011,0.333,-3.342,0.289,Idle
-0.019,-0.041,1.011,0.429,-3.281,0.298,Idle
-0.018,-0.040,1.010,0.350,-3.369,0.298,Idle
-0.019,-0.040,1.012,0.350,-3.299,0.298,Idle
-0.019,-0.040,1.011,0.385,-3.342,0.254,Idle
-0.019,-0.040,1.011,0.411,-3.342,0.289,Idle
-0.019,-0.040,1.011,0.376,-3.325,0.298,Idle
-0.019,-0.041,1.011,0.455,-3.351,0.254,Idle
-0.018,-0.040,1.011,0.350,-3.325,0.324,Idle
-0.020,-0.040,1.012,0.333,-3.369,0.289,Idle
-0.019,-0.041,1.011,0.368,-3.351,0.333,Idle
-0.019,-0.041,1.013,0.350,-3.290,0.315,Idle
-0.018,-0.041,1.011,0.333,-3.307,0.298,Idle
-0.019,-0.040,1.011,0.333,-3.342,0.289,Idle
-0.019,-0.041,1.011,0.359,-3.316,0.324,Idle
-0.019,-0.041,1.011,0.333,-3.342,0.289,Idle
-0.017,-0.040,1.011,0.403,-3.378,0.315,Idle
-0.019,-0.040,1.013,0.376,-3.307,0.262,Idle
-0.019,-0.040,1.011,0.368,-3.316,0.271,Idle
-0.019,-0.040,1.013,0.350,-3.378,0.245,Idle
